"Table S8 | List of DEGs (|log2FC| > 0.585 and FDR < 0.01) between DT1_A and DT1_U in 35-day-old organoids. FC, fold change; CPM, counts per million; LR, likelihood ratio statistics; FDR, false discovery rate; CV, coefficient of variation.",,,,,,,,,
Gene_name,Log2FC,Log2CPM,LR,p-value,FDR,Means_DT1_A,CV_DT1_A,Means_DT1_U,CV_DT1_U
KNL1,-0.701976486,7.304145764,42.20995621,8.20E-11,3.01E-09,0.20085592,307.9761037,0.278611131,247.7340314
ANKRD6,-0.698222184,7.77911055,96.98336928,6.99E-23,7.92E-21,0.67835378,130.7842582,0.957374128,102.1547616
LMO1,-0.697933585,7.444766569,40.29497788,2.18E-10,7.61E-09,0.36574313,223.3591054,0.498671341,180.0402935
MTMR10,-0.696105087,7.31552422,73.48459757,1.01E-17,7.71E-16,0.173482152,240.1936681,0.257395865,185.6274273
UHRF1,-0.695853014,7.673432384,49.89821542,1.62E-12,7.28E-11,0.580360882,172.1857133,0.758025883,140.0695631
PHF19,-0.695111487,7.357648072,66.73484674,3.11E-16,2.07E-14,0.234958005,227.1424266,0.332323002,180.7776773
CDH8,-0.695015946,7.284178107,51.82121532,6.08E-13,2.91E-11,0.158823262,325.1600151,0.229753871,252.727091
TK1,-0.693865785,7.329807958,35.70461389,2.30E-09,6.86E-08,0.235708405,278.9566584,0.312582165,228.3386957
IGDCC4,-0.692973454,7.677616415,109.6291723,1.18E-25,1.70E-23,0.567919193,135.6224106,0.831307114,99.35752684
ZWINT,-0.692423038,7.50702864,34.40587469,4.47E-09,1.28E-07,0.418161261,213.4019621,0.526076806,176.182945
YBX3,-0.690682554,7.651516151,76.83186789,1.86E-18,1.50E-16,0.536596826,158.080163,0.748848066,120.2963138
DLGAP5,-0.690609918,7.313657245,29.21670726,6.47E-08,1.53E-06,0.219986624,322.5900783,0.302501026,263.3045715
ABHD3,-0.690514847,7.496221005,72.64445556,1.55E-17,1.15E-15,0.373138582,185.4461269,0.549691458,140.773496
TMEM45A,-0.690255236,7.328046391,68.60236524,1.20E-16,8.27E-15,0.19320676,237.3110095,0.282543526,184.8686845
NES,-0.689745492,9.337296815,79.56440999,4.67E-19,3.97E-17,1.877514042,96.82549156,2.526393088,65.79691646
DNAJC1,-0.689002546,7.4204478,78.88767664,6.57E-19,5.50E-17,0.278672399,195.1014196,0.440100153,146.8380048
DOCK6,-0.688946671,7.289511641,69.01757931,9.76E-17,6.77E-15,0.13936618,285.3336849,0.235108879,210.7098477
FZD2,-0.68868478,7.709143763,97.05781299,6.73E-23,7.65E-21,0.579398311,137.4143901,0.843303853,107.7536233
DGKH,-0.688376902,7.315903047,70.14165402,5.52E-17,3.93E-15,0.172270047,242.2136358,0.265644559,188.3163806
WNT7B,-0.688336462,7.523271478,41.82927131,9.96E-11,3.60E-09,0.432402217,199.5380957,0.578034271,161.8275208
BLACAT1,-0.688259071,7.306858125,64.50457976,9.63E-16,6.05E-14,0.169480368,256.0834882,0.256141635,198.0759186
NEFL,-0.682803515,7.594662861,36.46547035,1.55E-09,4.77E-08,0.521046477,196.1851154,0.694519639,163.0866536
LGR4,-0.680784755,7.744094526,84.96870835,3.03E-20,2.84E-18,0.630707512,138.066451,0.891956389,107.7457657
TRIM9,-0.680354359,7.402506038,71.46660423,2.82E-17,2.06E-15,0.275310596,197.1817686,0.402590147,154.2949395
COLGALT2,-0.677467768,7.287273857,63.7103951,1.44E-15,8.91E-14,0.144082449,294.925678,0.235921278,223.510566
ZBTB16,-0.6762707,7.336416808,64.99675609,7.50E-16,4.78E-14,0.199877877,225.6583514,0.295480384,183.3712068
TJP2,-0.676046748,7.3069993,60.24767116,8.36E-15,4.81E-13,0.172007806,262.7339159,0.26025535,206.0910033
DAB1,-0.673949619,7.329523232,58.74032724,1.80E-14,1.01E-12,0.21135311,242.550328,0.290246892,196.3133224
CCNA2,-0.673492386,7.423171962,30.13848566,4.02E-08,9.87E-07,0.341933043,251.8646441,0.478017565,207.9676619
SLC1A5,-0.672912856,7.395488467,62.02767971,3.39E-15,2.03E-13,0.279136093,215.1828588,0.399236731,164.2886288
FOXM1,-0.672616405,7.346821258,29.07177367,6.97E-08,1.64E-06,0.25748017,276.2425298,0.339471776,230.6068582
CKS2,-0.67260075,7.798844538,71.02437627,3.53E-17,2.54E-15,0.742552909,149.1565848,1.022914776,118.3825154
MYCN,-0.672209071,7.842167637,100.8146022,1.01E-23,1.24E-21,0.724411287,124.5127027,1.032280297,96.64831147
CDKN3,-0.671757141,7.318923796,42.48371962,7.13E-11,2.63E-09,0.228045628,286.2906015,0.306275249,234.7821555
MYBL2,-0.671636048,7.392077895,28.91840654,7.55E-08,1.76E-06,0.306687549,255.2798304,0.39916449,211.740301
MYRF,-0.668901589,7.267147333,80.72750932,2.59E-19,2.23E-17,0.092647282,349.8926641,0.197838898,221.0345938
C21orf58,-0.668341594,7.350514116,50.25863485,1.35E-12,6.15E-11,0.238659948,243.5845324,0.337093074,196.9293463
GRIP2,-0.667987602,7.356464018,47.04780698,6.93E-12,2.89E-10,0.240854909,237.5083377,0.348081897,197.0562403
STK32C,-0.666410676,7.328966063,66.98558722,2.73E-16,1.83E-14,0.186091823,225.5387978,0.282885028,181.3250652
INF2,-0.66628481,7.30794065,63.43350107,1.66E-15,1.02E-13,0.170348254,252.3983879,0.25448618,195.7559896
MXD3,-0.665566418,7.345559305,42.29449789,7.85E-11,2.89E-09,0.26091605,273.6544861,0.356628105,220.1645452
AL139424.2,-0.664828685,7.335622657,67.74051418,1.86E-16,1.25E-14,0.195699293,219.2913242,0.287282904,176.9457047
RAD51AP1,-0.661135194,7.351417713,38.54515622,5.35E-10,1.76E-08,0.246823858,252.6804999,0.354211711,207.3365223
ARHGAP11A,-0.660061794,7.281941455,48.99159275,2.57E-12,1.12E-10,0.162333675,335.0796709,0.240979979,262.5416741
KIF20A,-0.659284954,7.27559838,40.15456136,2.35E-10,8.14E-09,0.159273808,385.8411483,0.237616421,297.6984563
CCNG1,-0.658034405,8.51016852,217.3847596,3.36E-49,2.17E-46,1.478049792,72.60409735,1.99771328,51.02284419
SOX2,-0.657105546,9.25791917,63.17647234,1.89E-15,1.15E-13,1.749314194,101.0206444,2.36321555,72.50337374
GINS2,-0.656950762,7.65547278,45.61825382,1.44E-11,5.84E-10,0.540288668,169.864724,0.727328969,142.205483
IMPA2,-0.656576137,7.391371369,63.55433275,1.56E-15,9.60E-14,0.26604169,210.0311404,0.388895008,162.2765359
ZNF367,-0.654410168,7.318230759,44.65658422,2.35E-11,9.19E-10,0.201333331,266.3582241,0.290333071,217.5092109
PCNA,-0.653308403,8.459447578,61.68958992,4.02E-15,2.41E-13,1.406061059,107.8562767,1.704725473,97.31750069
METRN,-0.651216497,7.672935025,79.42442709,5.01E-19,4.24E-17,0.564193217,143.8856868,0.80063826,113.8202548
DTL,-0.650241118,7.356871081,33.988952,5.54E-09,1.56E-07,0.264090874,254.2284361,0.347147412,208.110716
SDK2,-0.648529149,8.042754565,102.3106392,4.75E-24,6.04E-22,0.934456428,112.5580006,1.266912716,82.56641371
KIF18B,-0.648227045,7.300485992,28.91751938,7.55E-08,1.76E-06,0.198291016,323.5976666,0.271619517,262.9933212
DBF4,-0.648209288,7.451541857,70.82846183,3.90E-17,2.79E-15,0.312257274,190.3694496,0.494497146,142.871775
EPB41L2,-0.646899867,7.436709842,64.87456141,7.98E-16,5.07E-14,0.31529549,197.2293878,0.458192565,147.2911346
TROAP,-0.645997976,7.317147552,37.2857036,1.02E-09,3.20E-08,0.219573129,295.3140592,0.310374451,238.772693
AL133415.1,-0.645698212,7.296513356,58.44411348,2.09E-14,1.16E-12,0.154068516,269.094409,0.244295312,208.1531034
MARCH1,-0.645650962,7.292524094,60.1009007,9.01E-15,5.17E-13,0.149077522,268.797114,0.235135081,208.6763539
COCH,-0.644751826,7.31139595,59.7267747,1.09E-14,6.20E-13,0.175219075,247.0543094,0.258847133,194.745218
PLEKHH1,-0.644404364,7.331227842,62.68508499,2.43E-15,1.47E-13,0.195646119,220.4397579,0.282772725,180.9505802
C1QL4,-0.644102372,7.287320038,41.21221384,1.37E-10,4.87E-09,0.161380799,315.8830517,0.240519656,256.7401152
AL049597.1,-0.643016322,7.351633051,65.08267325,7.18E-16,4.60E-14,0.213836128,213.3157378,0.306401055,172.4292131
ZFP36L1,-0.642927462,9.26631501,49.99874499,1.54E-12,6.94E-11,1.688380854,105.5785479,2.2327483,82.86299687
NSUN5,-0.642276873,7.390959123,70.47662752,4.66E-17,3.33E-15,0.246314779,197.2154042,0.365020283,154.8164103
LGR5,-0.641963837,7.267180454,60.45103528,7.54E-15,4.38E-13,0.117609352,372.3225813,0.204963117,257.7776268
CDK6,-0.64154438,7.611641199,62.02865895,3.38E-15,2.03E-13,0.527295593,164.2953095,0.701268087,125.3824164
BUB1B,-0.64071386,7.330101316,27.98873169,1.22E-07,2.75E-06,0.230913172,283.7322387,0.316745645,238.106115
ATF3,-0.640545387,7.324435758,46.55482884,8.91E-12,3.69E-10,0.218990391,260.2552424,0.284996203,212.8425537
E2F1,-0.639736632,7.468071623,42.11382935,8.61E-11,3.15E-09,0.378629008,205.4985186,0.495938708,165.5207843
CRABP1,-0.639540328,8.254349351,25.70198181,3.98E-07,8.20E-06,1.052761784,160.2931119,1.305813321,135.6265424
TXNIP,-0.639336871,8.722442645,176.4580001,2.88E-40,1.15E-37,1.667306195,69.38702549,2.222520464,46.90595382
MIS18BP1,-0.637762207,7.339079713,42.03895434,8.95E-11,3.26E-09,0.229690788,256.6090886,0.326923861,210.0667685
ADCYAP1R1,-0.636447079,7.565777722,71.40981499,2.90E-17,2.11E-15,0.483518487,162.5203879,0.649237203,119.6315603
NDC80,-0.636150954,7.305291157,26.2604506,2.98E-07,6.31E-06,0.206350495,317.0204643,0.276354994,262.4237624
ELOVL6,-0.634686351,7.986582171,167.6278332,2.44E-38,8.96E-36,0.922048441,90.7109617,1.292255985,69.42878974
LRRC10B,-0.633808839,7.312409863,49.69791273,1.79E-12,7.99E-11,0.186499922,258.6703723,0.270349877,212.3458456
MCM10,-0.633728957,7.316071065,35.07702287,3.17E-09,9.30E-08,0.207648274,280.0141427,0.29048421,229.2957485
ARL4A,-0.632515435,7.631995513,76.83895081,1.85E-18,1.50E-16,0.530564362,145.4523959,0.76017808,115.2458153
TKT,-0.631158313,7.979407636,152.5284173,4.86E-35,1.33E-32,0.896312854,94.77703774,1.262219051,73.8054418
PCYT2,-0.631044708,7.511834407,81.06748401,2.18E-19,1.91E-17,0.363879813,163.0247122,0.575880233,126.1714206
APCDD1,-0.630273975,7.77221681,47.96104462,4.35E-12,1.85E-10,0.684150627,151.2930565,0.947476,127.2860392
FDPS,-0.629614168,9.34307743,241.8358111,1.56E-54,1.33E-51,2.357357682,51.88556556,2.956260149,37.14055449
ATAD5,-0.628783252,7.358321723,53.0324168,3.28E-13,1.61E-11,0.234290139,223.3798153,0.336009113,182.3022754
AC124798.1,-0.625653843,7.320501968,55.1738471,1.10E-13,5.73E-12,0.187735073,236.2341933,0.271208351,193.9641795
DDC,-0.625046056,7.253239273,59.33949122,1.33E-14,7.49E-13,0.050547746,637.2451361,0.189482133,348.6641212
BCL6,-0.62452521,7.324976446,51.47715924,7.24E-13,3.43E-11,0.210671479,243.4703471,0.274833372,194.8839211
TMEM97,-0.624448382,8.302011633,137.8419315,7.89E-32,1.71E-29,1.224824476,89.42337967,1.65573206,65.27760833
TCF7L1,-0.624198923,7.692752238,74.05915236,7.58E-18,5.84E-16,0.575341036,140.5471546,0.803093794,111.1910504
EVA1B,-0.623979018,7.285691478,55.39216245,9.87E-14,5.14E-12,0.151213222,293.1593803,0.220774588,216.6235377
PRCP,-0.62368258,7.631478825,71.09569456,3.40E-17,2.46E-15,0.535815356,149.4288033,0.73947393,117.3364645
BEND7,-0.622999587,7.430224152,72.69006854,1.52E-17,1.14E-15,0.27751185,181.7756864,0.433193888,137.6095477
PRR11,-0.622436378,7.306630316,40.3504369,2.12E-10,7.40E-09,0.198197644,285.1566256,0.268027096,232.990349
RBPMS2,-0.620346243,7.309342143,50.75166842,1.05E-12,4.84E-11,0.179246268,253.414477,0.260803661,206.7967264
RPL21P75,-0.619252813,7.359477753,61.2519326,5.02E-15,2.96E-13,0.225512065,207.9765186,0.31622166,169.9543076
COL4A2,-0.617004956,7.949877875,107.6574519,3.19E-25,4.40E-23,0.87563243,111.7942512,1.182338084,82.22182022
CDCA5,-0.616570527,7.332811655,23.10361879,1.54E-06,2.81E-05,0.242127886,284.0564272,0.313759043,240.2345748
RMI2,-0.616202215,7.418073021,38.73266069,4.86E-10,1.61E-08,0.302705555,216.4433353,0.439848288,178.133821
SLC16A1,-0.615785937,8.02688575,111.2608232,5.19E-26,7.63E-24,0.925319648,103.3642156,1.268507993,81.86274715
RTKN2,-0.614975566,7.298895359,39.34878525,3.54E-10,1.20E-08,0.189240307,294.9315814,0.256522078,238.469228
CENPK,-0.614582238,7.442813812,35.55390463,2.48E-09,7.38E-08,0.340284336,213.5157859,0.462709215,177.5675064
ASPM,-0.613983162,7.319787014,28.01696833,1.20E-07,2.71E-06,0.229724233,301.5322054,0.319377234,249.8577223
CTNNAL1,-0.612868204,7.63015907,78.95393305,6.36E-19,5.33E-17,0.526681679,143.8248791,0.743961888,112.4449466
MAPK12,-0.61227994,7.302100018,54.70239413,1.40E-13,7.19E-12,0.160139918,249.3767761,0.245056257,200.0659032
WSCD1,-0.611988722,7.919626258,84.6800555,3.51E-20,3.27E-18,0.841609052,116.8375858,1.154621579,92.37968833
TMEM2,-0.611159828,7.848763317,93.15187617,4.84E-22,5.07E-20,0.765931296,114.239941,1.068359114,93.46660664
SEMA7A,-0.6110662,7.302521224,53.71243243,2.32E-13,1.17E-11,0.164317351,250.4657663,0.245051318,196.4495471
PRSS23,-0.610668668,7.487920719,41.70494559,1.06E-10,3.82E-09,0.410285253,199.1058667,0.545513185,159.1496524
CTH,-0.609065016,7.285574319,56.49771844,5.63E-14,2.99E-12,0.135453291,275.4930504,0.223026039,208.705413
FOXA2,-0.606726511,7.251852556,50.77030891,1.04E-12,4.80E-11,0.051506948,664.6500701,0.1678187,364.7529601
GYPC,-0.606532248,7.306353219,49.51475674,1.97E-12,8.69E-11,0.181891343,257.6626453,0.249867267,206.0539319
JAG2,-0.605512664,7.312131833,52.0629584,5.37E-13,2.59E-11,0.173068458,237.7362504,0.261493921,193.0823912
KIF11,-0.603670019,7.377256283,23.26550782,1.41E-06,2.59E-05,0.290528284,262.5326393,0.385884306,221.620836
ALDOC,-0.602977441,7.584568109,65.3196766,6.37E-16,4.12E-14,0.492113828,152.2200009,0.702899545,122.4443243
MCM4,-0.601169215,7.808214938,32.94536269,9.48E-09,2.55E-07,0.695864341,158.9142863,0.858507817,140.0217996
CPAMD8,-0.600986061,7.304058582,52.90628533,3.50E-13,1.72E-11,0.166103821,245.9936356,0.246804786,196.9347186
ACSF2,-0.59955106,7.298755683,50.57574529,1.15E-12,5.28E-11,0.157774537,260.176038,0.244775561,205.8866319
RPS27L,-0.599151469,8.411106766,95.21618222,1.71E-22,1.89E-20,1.358362472,90.07129406,1.749560119,73.56102906
LRIG1,-0.598781655,8.010522584,74.40340008,6.37E-18,4.92E-16,0.956954316,114.8896707,1.223626929,93.11744032
AC009501.1,-0.595174245,7.260516954,55.68516979,8.51E-14,4.45E-12,0.087978784,395.8164895,0.193879128,275.8262112
TNFRSF10B,-0.595119014,8.000382087,95.85073147,1.24E-22,1.38E-20,0.929875126,105.7635399,1.260585023,82.29373983
ZDHHC22,-0.594957233,7.365782642,52.85451759,3.59E-13,1.76E-11,0.255639394,212.5452758,0.324857465,172.7331049
SUCLG2,-0.594507134,7.355740831,50.19144253,1.39E-12,6.34E-11,0.232653503,218.4345981,0.319991556,179.8161311
SLC1A3,-0.592941047,7.652910849,43.62704176,3.97E-11,1.52E-09,0.580576671,168.8112343,0.72488834,131.2681994
OLMALINC,-0.59205665,7.851259,106.8968362,4.69E-25,6.36E-23,0.76735477,110.308255,1.067721083,84.60804181
INSIG1,-0.590616424,8.306293295,121.8903115,2.44E-28,4.34E-26,1.26840798,85.72774739,1.666092292,63.35958204
RASD1,-0.590273553,7.260734321,45.1487726,1.83E-11,7.30E-10,0.096290446,441.8708276,0.227208804,330.8297692
NR2E1,-0.589978369,7.278259704,36.29436965,1.70E-09,5.19E-08,0.144036474,332.1457005,0.215568125,259.2697624
AC110285.7,-0.589645912,7.268919665,54.56737005,1.50E-13,7.67E-12,0.112120021,330.241173,0.199537404,236.9291662
SYT7,-0.589038904,7.346246221,38.51622641,5.43E-10,1.79E-08,0.232621408,234.9959383,0.31909953,203.6262047
ACAT2,-0.588912252,9.046100366,141.0365162,1.58E-32,3.71E-30,2.029523023,63.55600487,2.522340437,50.29682632
FBXO17,-0.588856465,7.309536466,47.17942605,6.48E-12,2.71E-10,0.185789082,248.6528396,0.251867973,201.100341
NENF,-0.58743471,7.466395854,54.04367737,1.96E-13,9.94E-12,0.345552706,185.3919156,0.503657887,143.4208709
HELLS,-0.586843175,7.875926605,49.00116032,2.56E-12,1.12E-10,0.793966503,136.6808152,1.000431269,114.4910438
LDLR,-0.585937118,8.14348622,157.9675337,3.15E-36,9.62E-34,1.09944357,85.15586506,1.491661786,59.59028795
RPL4P5,-0.585783789,7.32744163,52.45347826,4.41E-13,2.15E-11,0.186732037,222.0755263,0.267173419,181.4923008
SKIDA1,-0.585623815,7.747702768,94.37569752,2.61E-22,2.82E-20,0.652261807,115.27267,0.928770586,92.69600843
WRN,-0.585544543,7.383508567,57.77568663,2.94E-14,1.61E-12,0.248702115,197.8516615,0.344602711,158.4807377
AJAP1,0.58505199,7.272448474,42.45584505,7.23E-11,2.67E-09,0.208588923,261.216111,0.120473276,328.593129
ZNF883,0.585590218,7.324674879,49.67106938,1.82E-12,8.09E-11,0.268802393,186.9134058,0.195440538,225.2452675
VSTM2A,0.585590917,7.339599786,33.14858401,8.54E-09,2.33E-07,0.303186206,210.9155936,0.236794693,249.1962849
RCBTB2,0.587741055,7.448875485,59.84566339,1.03E-14,5.85E-13,0.479658611,144.6465052,0.302791516,178.6857384
CD82,0.587861234,7.254550059,68.47042504,1.29E-16,8.81E-15,0.184891751,287.2497391,0.059195108,467.6796179
TEX2,0.588353313,7.332692082,51.89491536,5.86E-13,2.81E-11,0.2795389,184.6068392,0.197398193,219.8561307
HGNC:18790,0.590232564,8.430055001,82.70665694,9.52E-20,8.51E-18,1.648043593,72.9477072,1.341391073,88.12908424
GLCE,0.59644476,7.401125454,57.39788774,3.56E-14,1.92E-12,0.394573337,159.7411094,0.256054584,190.0224061
NTM,0.599158156,7.283248044,44.67705568,2.32E-11,9.11E-10,0.220286653,233.7834958,0.141685207,298.1167324
NHLH1,0.601797533,7.760822403,15.15424643,9.91E-05,0.001235041,0.741341537,183.0897019,0.61381859,196.5129041
PCDHB15,0.602021184,7.285428145,44.55014385,2.48E-11,9.66E-10,0.225528777,235.341614,0.147555656,293.6288336
FZD10,0.605147733,7.664129421,34.23617771,4.88E-09,1.39E-07,0.766074841,153.4765732,0.526037984,161.0605524
IQCG,0.605285858,7.33629138,54.67454544,1.42E-13,7.28E-12,0.281047918,183.7746481,0.206778093,219.2316201
NMNAT2,0.606630963,7.607398296,59.36196949,1.31E-14,7.42E-13,0.681103656,121.2023512,0.508931589,148.0879973
CPEB2,0.608479628,7.342807765,42.2259504,8.13E-11,2.99E-09,0.317876526,204.4660184,0.219299924,236.8739419
MARCH1,0.608977356,7.27252655,51.62128052,6.73E-13,3.19E-11,0.207382311,245.5006382,0.113221803,324.4053707
CDK5R1,0.609199646,8.09352995,82.04179279,1.33E-19,1.18E-17,1.295455348,84.01874542,1.006046401,100.073444
VGLL3,0.609459628,7.290600575,36.01113286,1.96E-09,5.91E-08,0.260053674,271.6085668,0.1695913,326.2693121
SLC16A2,0.609491771,7.637778481,94.3664034,2.62E-22,2.82E-20,0.755158951,105.6291655,0.530581045,125.2567784
SKOR2,0.610540961,7.252971191,49.07556635,2.46E-12,1.08E-10,0.160724855,357.0525425,0.048107413,635.3475956
PRDM11,0.611323259,7.294454475,55.88222944,7.69E-14,4.04E-12,0.230954776,202.339865,0.149937345,256.3631003
ZNF667,0.611478612,7.313134635,53.59238203,2.47E-13,1.23E-11,0.257135504,192.0684795,0.175536431,236.0621464
ZCCHC18,0.614493615,7.298254113,53.53193322,2.54E-13,1.27E-11,0.239083122,204.9447349,0.155496199,252.8462017
HOXC4,0.61516217,7.251913513,83.36656011,6.82E-20,6.22E-18,0.182280766,303.3327194,0.032007502,748.1271242
RELN,0.615454475,7.273897089,38.55458609,5.32E-10,1.75E-08,0.213886134,288.3793921,0.139461802,362.3314542
ATP2B2,0.617083167,7.278873059,54.65537093,1.44E-13,7.35E-12,0.215255333,230.5822918,0.125011974,298.2125251
PPP2R2B,0.618301689,7.401893757,37.85238238,7.63E-10,2.44E-08,0.403577528,179.2162405,0.289798527,218.675277
CHD3,0.61833088,8.133140838,144.9928241,2.16E-33,5.41E-31,1.444062445,66.99942443,1.094749137,82.45547616
LINC00982,0.618883782,7.262556761,56.92928284,4.52E-14,2.42E-12,0.216986785,302.8403797,0.098727324,416.0015909
XKR7,0.619564652,7.345708596,47.44473398,5.66E-12,2.40E-10,0.300299584,191.9083612,0.226037251,224.7414958
FGD6,0.620540965,7.417991668,65.88571345,4.78E-16,3.13E-14,0.415467057,148.7850571,0.280073355,186.3885131
SNTG1,0.622829413,7.258857069,56.43840478,5.80E-14,3.08E-12,0.203175369,311.8067603,0.073085187,449.0145979
SULT4A1,0.622935892,7.36946995,55.69023027,8.48E-14,4.45E-12,0.333568039,172.8970936,0.245013206,206.6701455
ID3,0.624960287,7.9382714,22.73478463,1.86E-06,3.35E-05,0.948537962,159.8225535,0.784619707,167.6263302
ENC1,0.628372535,8.371770086,76.07635552,2.73E-18,2.18E-16,1.66333703,89.99485915,1.290988857,92.32433219
DISP3,0.630137022,7.507596679,56.18256228,6.60E-14,3.49E-12,0.582256197,145.8477825,0.391056404,171.5269974
CACNA1E,0.63120131,7.365353472,44.87718133,2.10E-11,8.26E-10,0.349752329,187.4024101,0.23722213,219.6728538
HECW1,0.632542316,7.287856811,51.96104857,5.66E-13,2.72E-11,0.223056405,219.6258253,0.146407778,283.1461661
TANC1,0.633678747,7.266867715,65.44819092,5.97E-16,3.87E-14,0.203117032,245.3876329,0.089926572,339.0553968
ZNF135,0.636346598,7.297340281,60.2928873,8.17E-15,4.72E-13,0.238440605,196.7935209,0.148902961,254.2386007
NRGN,0.636674543,7.335988252,39.97754203,2.57E-10,8.85E-09,0.349268986,219.6348836,0.213120371,261.8550313
SYT13,0.637520016,7.593081056,38.42310746,5.70E-10,1.86E-08,0.631858363,145.0714955,0.509502001,174.1326476
DMRT3,0.637626833,7.253656074,67.06620354,2.63E-16,1.76E-14,0.183511891,331.3521101,0.038710664,686.7574174
ASXL3,0.641055168,7.743398272,92.78774439,5.82E-22,6.04E-20,0.896333254,97.00701237,0.652501182,124.9275026
FAIM2,0.641123841,7.359771986,46.67874521,8.36E-12,3.46E-10,0.331453245,187.8120956,0.228957536,219.438238
EFNB2,0.645235934,7.704395034,68.02123489,1.62E-16,1.10E-14,0.821019665,117.6686706,0.596052841,141.1028767
SLITRK4,0.645458299,7.268324559,61.8103367,3.78E-15,2.27E-13,0.20219759,252.9880195,0.105215713,361.3255297
CADPS,0.645744522,7.780130806,53.07840365,3.20E-13,1.58E-11,0.878552486,116.6360933,0.667362229,144.693719
THRA,0.646437517,7.599044684,97.27517129,6.03E-23,6.90E-21,0.703042543,108.1485884,0.479438902,136.9132886
LRRC7,0.64856625,7.279602808,53.99913154,2.01E-13,1.02E-11,0.214169056,236.7546451,0.130408501,309.7715573
STC2,0.649422599,7.273471665,50.51756893,1.18E-12,5.43E-11,0.218268607,274.2411761,0.128383572,355.9397453
CHN2,0.650464101,7.382284883,42.75049312,6.22E-11,2.32E-09,0.381560913,185.1570332,0.259087825,221.8218348
HOXA3,0.650607167,7.254740298,89.73984865,2.72E-21,2.67E-19,0.188789612,283.5195906,0.046673702,581.4390563
NXPH4,0.653493838,7.30695913,36.03226207,1.94E-09,5.86E-08,0.269893077,251.8168857,0.197224722,299.1593453
MEIS1,0.654155919,7.857555888,92.47104078,6.83E-22,7.07E-20,1.047227769,100.8236974,0.753348405,113.5296923
SPOCK2,0.654946095,7.283037568,52.30096466,4.76E-13,2.31E-11,0.234251192,247.2178068,0.133683738,310.5888811
PDE1A,0.655277399,7.354128903,51.06709045,8.93E-13,4.16E-11,0.33092439,190.2615906,0.228373691,226.377332
C17orf97,0.65562666,7.349713521,67.34716623,2.28E-16,1.53E-14,0.290054522,172.7809655,0.202513962,209.1263888
TUSC1,0.66068047,7.402235002,70.87899356,3.80E-17,2.73E-15,0.397494349,154.2820305,0.257590522,192.2869035
TOM1L1,0.662729448,7.285363547,61.47854995,4.48E-15,2.66E-13,0.226150037,222.8469012,0.137538077,292.0202929
PID1,0.664152175,7.317962008,42.55074635,6.89E-11,2.55E-09,0.281998049,225.2005448,0.197569253,268.7424708
LINC01122,0.664201716,7.270134455,73.93195539,8.09E-18,6.20E-16,0.203294923,227.3342846,0.097181552,336.0391835
FNDC5,0.668301368,7.532698456,36.22725344,1.76E-09,5.35E-08,0.575548045,165.9058408,0.435464117,192.1591319
NRSN1,0.669987282,7.336083308,51.24085454,8.17E-13,3.86E-11,0.293761797,197.5810419,0.212756389,237.07814
LRRIQ1,0.671787905,7.34883608,60.37840206,7.83E-15,4.53E-13,0.320895913,187.5394803,0.213439394,221.0012155
ANXA6,0.673239805,7.361556361,58.54466587,1.99E-14,1.11E-12,0.356145413,188.7107868,0.216503244,217.7628072
VSTM2L,0.676316696,7.569482592,64.76124179,8.45E-16,5.35E-14,0.641444147,132.4938254,0.483481712,165.0103253
INA,0.67809111,8.716070458,48.86030875,2.75E-12,1.20E-10,1.616159869,98.51429831,1.300320717,112.4656177
XKR4,0.678388822,7.367341357,47.2869506,6.13E-12,2.57E-10,0.337289997,186.3522384,0.248686279,224.1703347
GPC3,0.679456113,7.438316252,40.15905374,2.34E-10,8.13E-09,0.525178127,197.9407223,0.30149408,220.9749521
SORBS1,0.680963248,7.429696289,76.84970666,1.84E-18,1.49E-16,0.445933869,145.5670093,0.289427054,186.5605309
NR2F2-AS1,0.683738776,7.507730705,73.46079397,1.03E-17,7.78E-16,0.572723541,135.3249815,0.373985034,170.9949597
RGS8,0.683795792,7.284166596,56.5409715,5.50E-14,2.94E-12,0.229919223,238.7056301,0.129219004,307.5655537
KCTD12,0.685965371,7.299280235,42.0298891,8.99E-11,3.27E-09,0.297552141,263.9873227,0.158842035,307.890217
ANKS1B,0.688267297,7.451310833,57.68205836,3.08E-14,1.68E-12,0.501071677,159.0035506,0.340551145,200.3734934
IAH1,0.688613439,7.438133315,82.04740312,1.33E-19,1.18E-17,0.451442428,140.6807522,0.300351295,184.4640632
CFLAR,0.689718695,7.314852207,65.19494697,6.78E-16,4.36E-14,0.264345266,196.4283948,0.177427214,244.7629705
ZNF503,0.690092748,8.03541193,49.79110179,1.71E-12,7.67E-11,1.135262917,123.5132945,0.8408855,132.7490581
AHNAK,0.690654686,7.300211809,47.47902626,5.56E-12,2.36E-10,0.270385277,246.2432935,0.163339274,292.7288035
HOXC9,0.693598394,7.256172822,86.33514632,1.52E-20,1.45E-18,0.197354814,309.8928622,0.035448451,684.0525295
RALYL,0.69363526,7.302992267,41.21010825,1.37E-10,4.87E-09,0.26581528,249.8399585,0.175094582,300.4060018
HOXA5,0.693764301,7.255907714,83.06890358,7.92E-20,7.11E-18,0.18888382,313.1321345,0.036915576,759.0074892
