"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"CD7","0.029720280","0.015356490","0.025593395","0.011680253","0.043871180","0.067487098","0.023351648","0.009508716","CD7"
"FOXK2","0.12062937","0.15283364","0.20392157","0.08261346","0.17499178","0.10599444","0.06318681","0.11727417","FOXK2"
"ZNF343","0.01748252","0.02815356","0.02765738","0.01423531","0.03236937","0.01627630","0.01373626","0.01743265","ZNF343"
"HCN2","0.000000000","0.005484461","0.002270382","0.001581701","0.005750904","0.001587932","0.001373626","0.000000000","HCN2"
"KLF16","0.04545455","0.05667276","0.05655315","0.03431074","0.07854091","0.05835649","0.03983516","0.05071315","KLF16"
"SAFB2","0.1958042","0.1923218","0.3075335","0.1478282","0.2244496","0.1945216","0.1689560","0.1077655","SAFB2"
"CERS1","0.09090909","0.08336380","0.07120743","0.04781604","0.07262570","0.04287416","0.05494505","0.07131537","CERS1"
"KCNK6","0.07342657","0.05557587","0.06584107","0.04221925","0.15856063","0.23620484","0.12637363","0.15689382","KCNK6"
"AC005261.2","0.010489510","0.013893967","0.008255934","0.014356978","0.013637857","0.005954744","0.037087912","0.006339144","AC005261.2"
"ZNF773","0.03146853","0.02632541","0.02724458","0.01435698","0.02333224","0.01945216","0.02335165","0.01109350","ZNF773"
"ICMT","0.20804196","0.16599634","0.33188854","0.16109016","0.24696024","0.19491862","0.11813187","0.09667195","ICMT"
"AL137802.1","0.0000000000","0.0007312614","0.0006191950","0.0007300158","0.0008215577","0.0011909488","0.0000000000","0.0000000000","AL137802.1"
"IQCC","0.012237762","0.016819013","0.038596491","0.016547025","0.021853434","0.019055181","0.016483516","0.006339144","IQCC"
"CSF3R","0.064685315","0.004021938","0.003302374","0.004623434","0.010351627","0.017864232","0.004120879","0.001584786","CSF3R"
"HEYL","0.141608392","0.020475320","0.020433437","0.012045261","0.030233322","0.027788805","0.002747253","0.000000000","HEYL"
"AC099786.1","0.0017482517","0.0007312614","0.0028895769","0.0002433386","0.0088728229","0.0035728464","0.0013736264","0.0000000000","AC099786.1"
"TTLL7","0.11188811","0.37842779","0.11888545","0.07008152","0.11403221","0.03811036","0.01098901","0.00792393","TTLL7"
"NTNG1","0.001748252","0.019012797","0.022910217","0.018493734","0.025632599","0.006351727","0.005494505","0.017432647","NTNG1"
"NBPF20","0.024475524","0.031444241","0.040660475","0.020318774","0.052251068","0.027391822","0.001373626","0.019017433","NBPF20"
"NBPF14","0.07342657","0.03985375","0.10443756","0.04112422","0.11846862","0.09090909","0.02747253","0.01584786","NBPF14"
"DARS2","0.02797203","0.01755027","0.07574819","0.02263049","0.03401249","0.02897975","0.01236264","0.02377179","DARS2"
"RAB7B","0.099650350","0.003290676","0.003921569","0.002920063","0.017088400","0.033743549","0.000000000","0.004754358","RAB7B"
"KCNS3","0.09090909","0.04497258","0.06191950","0.04270593","0.09776536","0.07185391","0.02609890","0.01901743","KCNS3"
"ATP6V1E2","0.05594406","0.04314442","0.05283798","0.03309405","0.06654617","0.04763795","0.01923077","0.01901743","ATP6V1E2"
"SLC1A4","0.03496503","0.05703839","0.04334365","0.02275216","0.04715741","0.04605002","0.04807692","0.01584786","SLC1A4"
"ETAA1","0.06468531","0.05923218","0.10588235","0.05207446","0.09332895","0.07383882","0.01648352","0.04754358","ETAA1"
"MCEE","0.03671329","0.03912249","0.06357069","0.03564911","0.07739073","0.10599444","0.06318681","0.02852615","MCEE"
"EXOC6B","0.064685315","0.070566728","0.082765738","0.039907531","0.094807756","0.051210798","0.006868132","0.017432647","EXOC6B"
"FAHD2B","0.22727273","0.07861060","0.15294118","0.06594476","0.12093329","0.11353712","0.08104396","0.06339144","FAHD2B"
"RAB3GAP1","0.11888112","0.09908592","0.13890609","0.08078842","0.16414722","0.14132592","0.06868132","0.06973059","RAB3GAP1"
"AC007405.3","0.03321678","0.04168190","0.05490196","0.03747415","0.06588893","0.05319571","0.02884615","0.02218700","AC007405.3"
"HOXD13","0.006993007","0.005484461","0.020433437","0.008516851","0.022346369","0.004763795","0.000000000","0.001584786","HOXD13"
"EDEM1","0.03671329","0.02961609","0.03777090","0.02530721","0.06441012","0.07264788","0.02472527","0.03486529","EDEM1"
"TIMP4","0.010489510","0.014990859","0.010732714","0.014843655","0.004107788","0.002778881","0.000000000","0.006339144","TIMP4"
"SLC25A38","0.09965035","0.13857404","0.16780186","0.10159387","0.19865265","0.18777293","0.26510989","0.09984152","SLC25A38"
"APPL1","0.2132867","0.1897623","0.3201238","0.1429614","0.2995399","0.2485113","0.1648352","0.1410460","APPL1"
"TMCC1-AS1","0.05244755","0.02925046","0.05861713","0.03029566","0.07048965","0.03533148","0.03571429","0.03486529","TMCC1-AS1"
"ABCF3","0.06643357","0.05301645","0.08565531","0.04428763","0.09217877","0.10281858","0.06043956","0.02694136","ABCF3"
"TMEM41A","0.1835664","0.1872029","0.2784314","0.1407714","0.2660204","0.2290592","0.2239011","0.1267829","TMEM41A"
"GABRA2","0.017482517","0.046069470","0.020846233","0.013991970","0.055372987","0.134974196","0.008241758","0.017432647","GABRA2"
"AC124016.1","0.08916084","0.08153565","0.06790506","0.07032486","0.07196845","0.03374355","0.08241758","0.03486529","AC124016.1"
"AC105383.1","0.000000000","0.008409506","0.007430341","0.003406740","0.013966480","0.005954744","0.001373626","0.019017433","AC105383.1"
"INPP4B","0.092657343","0.013893967","0.018782250","0.009490206","0.023496549","0.006351727","0.001373626","0.023771791","INPP4B"
"AC010478.1","0.008741259","0.046069470","0.017543860","0.009490206","0.024318107","0.007145693","0.000000000","0.006339144","AC010478.1"
"ELOVL7","0.006993007","0.001096892","0.002270382","0.003163402","0.004765035","0.001587932","0.008241758","0.003169572","ELOVL7"
