"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"ISG15","0.2237762","0.1056673","0.1896801","0.1082857","0.2244496","0.1266376","0.6854396","0.5435816","ISG15"
"SDF4","0.3339161","0.2522852","0.4423117","0.2022144","0.4408478","0.5204446","0.1758242","0.2393027","SDF4"
"AURKAIP1","2.069930","1.528702","2.931889","1.232510","2.247782","2.175069","2.101648","1.220285","AURKAIP1"
"MRPL20","1.2167832","1.0745887","1.9162023","0.8204161","1.5714755","1.4204049","0.9574176","0.7496038","MRPL20"
"SSU72","1.4562937","1.3148080","2.0043344","0.9718944","2.0609596","1.6720921","1.0645604","0.9413629","SSU72"
"GNB1","0.8269231","0.9627057","0.9896801","0.4257209","0.9631942","0.7213180","0.2170330","0.5562599","GNB1"
"FAAP20","1.368881","1.012797","1.797936","0.800949","2.120933","1.686780","0.771978","1.158479","FAAP20"
"FAM213B","0.15559441","0.14040219","0.18101135","0.10451393","0.16891226","0.12743152","0.03296703","0.11885895","FAM213B"
"TPRG1L","0.07692308","0.08263254","0.07781218","0.04696435","0.10992442","0.08813021","0.11950549","0.05388273","TPRG1L"
"SMIM1","0.13986014","0.08263254","0.89680083","0.19430588","0.26109103","0.25486304","2.69093407","0.04912837","SMIM1"
"RPL22","13.461538"," 8.380622","12.874510"," 7.166200","14.439862","11.515284","12.189560"," 7.448494","RPL22"
"CAMTA1","1.7569930","1.4274223","2.2724458","1.0761650","2.0552087","1.3231441","0.8173077","1.0538827","CAMTA1"
"PARK7","2.470280","1.919561","3.788029","1.564789","3.385475","3.300516","1.673077","1.491284","PARK7"
"ENO1","2.438811","2.509689","5.560578","2.738289","3.849655","4.917428","3.412088","2.359746","ENO1"
"CLSTN1","0.2762238","0.3118830","0.3465428","0.2104879","0.3754519","0.1778484","0.0728022","0.1473851","CLSTN1"
"CASP9","0.03496503","0.04460695","0.05593395","0.02615890","0.06194545","0.06431123","0.03571429","0.02377179","CASP9"
"MFAP2","0.5087413","0.5447898","1.4185759","0.6719796","1.9260598","1.5156808","0.1483516","0.3518225","MFAP2"
"CAPZB","1.3339161","0.9747715","1.4092879","0.6269619","1.3723299","1.5633188","0.6565934","1.1901743","CAPZB"
"MINOS1","1.3304196","0.9159049","1.6819401","0.7256357","1.4107788","1.3227471","0.5343407","0.7606973","MINOS1"
"NBL1","0.19055944","0.07239488","0.11062951","0.06265969","0.20161025","0.17348154","0.02884615","0.18700475","NBL1"
"DDOST","0.6555944","0.4310786","0.7174407","0.3588028","0.9883339","1.2119889","0.4203297","0.4310618","DDOST"
"CDC42","1.975524","2.358684","2.606811","1.231902","3.162668","3.739182","1.710165","2.640254","CDC42"
"ZNF436-AS1","0.07167832","0.10786106","0.09287926","0.08541185","0.12865593","0.07225089","0.07829670","0.07290016","ZNF436-AS1"
"RPL11","45.48776","29.95210","47.08215","23.20428","62.55307","50.27709","35.85852","29.16006","RPL11"
"CLIC4","0.3793706","0.3952468","0.6928793","0.3195036","0.7218206","0.7586344","0.2472527","0.3486529","CLIC4"
"SYF2","1.0052448","0.9444241","1.0811146","0.6084682","1.2584620","1.0603414","1.4697802","0.6481775","SYF2"
"MAN1C1","0.052447552","0.030712980","0.016305470","0.015695340","0.032040749","0.007145693","0.001373626","0.042789223","MAN1C1"
"MTFR1L","0.4020979","0.3769653","0.4716202","0.2241149","0.4857049","0.4303295","0.2348901","0.2678288","MTFR1L"
"STMN1","11.832168","15.639122","18.749845"," 6.753863"," 8.487677"," 4.291782"," 1.913462"," 4.565769","STMN1"
"ZNF593","0.4772727","0.4000000","0.5750258","0.3188952","0.6618469","0.6935292","0.8021978","0.2884311","ZNF593"
"SH3BGRL3","3.239510","3.523218","2.581424","1.428641","3.822215","4.101231","1.230769","4.128368","SH3BGRL3"
"HMGN2","12.183566"," 7.725411","29.386791"," 9.405645","14.502793","12.683605"," 4.028846"," 3.930269","HMGN2"
"ARID1A","0.6381119","0.7031079","0.8371517","0.3687797","0.9446270","0.5291782","0.1510989","0.3438986","ARID1A"
"TMEM222","0.1958042","0.1696527","0.2264190","0.1171675","0.2119619","0.2012703","0.1195055","0.1489699","TMEM222"
"WASF2","0.9475524","0.6127971","1.1093911","0.4586933","1.1830430","0.8543073","0.5741758","1.4896989","WASF2"
"FAM76A","0.08041958","0.09872029","0.10588235","0.06363305","0.11058166","0.08416038","0.06730769","0.04754358","FAM76A"
"YTHDF2","0.9527972","0.9305302","1.1098039","0.5992213","0.9878409","0.7649861","0.5302198","0.6561014","YTHDF2"
"ZCCHC17","0.6660839","0.5524680","0.6961816","0.3040516","0.5249754","0.3509329","0.3447802","0.2820919","ZCCHC17"
"COL16A1","0.005244755","0.022303473","0.022084623","0.012775277","0.077390733","0.048828900","0.006868132","0.006339144","COL16A1"
"ADGRB2","0.02622378","0.07020110","0.06418989","0.04088089","0.10778837","0.04247717","0.01373626","0.01267829","ADGRB2"
"PTP4A2","1.844406","1.652651","2.710423","1.210975","2.502136","2.882096","1.798077","1.167987","PTP4A2"
"EIF3I","1.0227273","0.8877514","1.4776058","0.7238107","1.3402892","1.4859071","1.3228022","0.7179081","EIF3I"
"RBBP4","1.2255245","1.2764168","1.8392157","0.8960944","1.5676964","1.3672092","0.6442308","0.5641838","RBBP4"
"S100PBP","0.1433566","0.1323583","0.2363261","0.1135175","0.2257640","0.1468837","0.1043956","0.1156894","S100PBP"
"SFPQ","1.8636364","1.6848263","2.9552116","1.2712009","1.7831088","1.1782453","0.7156593","0.7971474","SFPQ"
"EVA1B","0.4493007","0.2424132","0.4837977","0.1972259","1.1860007","0.7510917","0.1098901","0.5863708","EVA1B"
"C1orf122","1.1433566","1.2658135","1.2348813","0.6690595","1.9055209","1.7884081","0.7115385","0.8335975","C1orf122"
"NDUFS5","2.926573","3.190494","4.746956","2.279961","4.415051","4.437872","2.839286","2.147385","NDUFS5"
"PABPC4","0.6048951","0.3630713","0.7095975","0.3354423","0.7129477","0.6105597","0.3365385","0.3819334","PABPC4"
"SMAP2","0.14860140","0.14625229","0.11496388","0.05998297","0.10926717","0.07105994","0.06868132","0.05229794","SMAP2"
"NFYC","0.3321678","0.3246801","0.5203302","0.2086629","0.4472560","0.3938071","0.2321429","0.1901743","NFYC"
"YBX1","14.961538","10.681170","20.805366"," 8.541428","11.967138"," 9.141326"," 9.884615"," 5.898574","YBX1"
"P3H1","0.17657343","0.13601463","0.17956656","0.10110719","0.31810713","0.44501786","0.07967033","0.14738510","P3H1"
"ZNF691","0.09965035","0.05923218","0.11310630","0.06375471","0.10630956","0.08733624","0.05906593","0.05546751","ZNF691"
"RPS8","55.25524","32.83583","58.73209","26.97725","74.74696","64.30846","43.00412","31.28209","RPS8"
"UROD","0.3776224","0.3451554","1.5147575","0.3798516","0.6215905","1.0305677","2.6964286","0.2947702","UROD"
"UQCRH","6.802448","4.837660","8.385139","4.159752","9.069504","6.498611","7.428571","4.036450","UQCRH"
"CMPK1","0.5244755","0.5648995","0.6359133","0.3366590","0.6271771","0.5613339","0.5123626","0.4690967","CMPK1"
"EPS15","0.24125874","0.18866545","0.17977296","0.10719066","0.25418994","0.17268757","0.07005495","0.23454834","EPS15"
"PRPF38A","0.5629371","0.3725777","0.7603715","0.3343472","0.6041735","0.4894800","0.3791209","0.3122029","PRPF38A"
"GPX7","0.16433566","0.12138940","0.22807018","0.12288600","0.27177128","0.13973799","0.03708791","0.13946117","GPX7"
"C1orf123","0.4335664","0.2643510","0.4586171","0.2108529","0.4097930","0.3747519","0.1923077","0.2789223","C1orf123"
"TMEM59","1.0262238","1.2069470","1.3019608","0.6452123","1.3243510","2.7637952","0.9079670","0.6465927","TMEM59"
"SSBP3","0.4230769","0.8566728","0.7564499","0.3388490","0.8711798","0.4438269","0.1030220","0.3359746","SSBP3"
"PLPP3","0.10314685","0.14844607","0.24355005","0.13420124","0.48093986","0.55180627","0.03983516","0.17591125","PLPP3"
"ATG4C","0.11888112","0.04826325","0.14014448","0.06691812","0.08527769","0.06986900","0.09340659","0.03645008","ATG4C"
"FOXD3-AS1","0.56818182","0.16709324","0.09907121","0.15026159","0.03384818","0.01865820","0.10576923","0.01267829","FOXD3-AS1"
"PGM1","0.1381119","0.2197441","0.2736842","0.1713104","0.4378902","0.4259627","0.2184066","0.1188590","PGM1"
"LEPR","0.02797203","0.03363803","0.03653251","0.02348218","0.05126520","0.05319571","0.03846154","0.05705230","LEPR"
"SERBP1","3.169580","2.261426","4.809701","2.141015","3.527440","3.327511","2.417582","1.860539","SERBP1"
"SRSF11","1.2115385","1.1729433","1.9145511","0.9127631","1.6008873","1.4533545","0.9629121","0.8193344","SRSF11"
"ZRANB2","0.6713287","0.5213894","0.7872033","0.4746320","0.7926388","0.6784438","0.4120879","0.4009509","ZRANB2"
"ST6GALNAC3","0.10839161","0.08299817","0.21486068","0.09648376","0.27735787","0.36125447","0.01785714","0.07606973","ST6GALNAC3"
"FUBP1","0.4807692","0.3974406","0.5500516","0.2853145","0.4676306","0.3215562","0.2115385","0.1695721","FUBP1"
"PTGFR","0.001748252","0.007678245","0.012796698","0.005231780","0.029411765","0.042874156","0.000000000","0.004754358","PTGFR"
"SH3GLB1","0.4178322","0.3835466","0.4177503","0.1870057","0.5437069","0.6716951","0.2802198","0.4580032","SH3GLB1"
"SELENOF","1.0052448","0.8029250","1.1688338","0.6405889","1.0589878","1.1699087","0.5439560","0.6275753","SELENOF"
"CDC7","0.11713287","0.05776965","0.20309598","0.07908505","0.09579362","0.05160778","0.04395604","0.02852615","CDC7"
"TGFBR3","0.13461538","0.16087751","0.26150671","0.12471104","1.11058166","0.81421199","0.05494505","0.44849445","TGFBR3"
"RPAP2","0.13461538","0.12760512","0.17048504","0.08833191","0.16102530","0.11353712","0.05219780","0.05388273","RPAP2"
"RPL5","29.24650","18.26581","28.21981","13.71870","34.62833","25.26677","18.01236","15.25198","RPL5"
"TMED5","0.19580420","0.09616088","0.18039216","0.09295535","0.14295104","0.16990869","0.20054945","0.09667195","TMED5"
"CNN3","2.3304196","1.6881170","2.8662539","1.3275338","2.1639829","2.8566892","0.8736264","0.9540412","CNN3"
"RTCA","0.2325175","0.2632541","0.2992776","0.1368780","0.3338810","0.4172291","0.1923077","0.2456418","RTCA"
"SLC25A24","0.18706294","0.14515539","0.19442724","0.07665166","0.17679921","0.16712981","0.07005495","0.15372425","SLC25A24"
"GNAI3","0.6468531","0.6449726","0.8338493","0.3850833","0.7523825","0.8324732","0.5453297","0.5752773","GNAI3"
"GSTM4","0.08566434","0.03692870","0.09329205","0.04477430","0.11764706","0.10678841","0.04395604","0.03803487","GSTM4"
"RAP1A","0.4073427","0.2135283","0.4167183","0.1788539","0.3314164","0.4231838","0.2774725","0.2250396","RAP1A"
"OLFML3","0.1538462","0.2025594","0.3628483","0.1839640","0.7119619","1.7701469","0.1717033","0.4564184","OLFML3"
"ZNF697","0.07692308","0.07276051","0.04478844","0.02774060","0.06835360","0.05200476","0.02609890","0.02694136","ZNF697"
"PHGDH","0.7954545","0.6698355","1.6976264","0.7081153","1.3655932","1.9134577","0.8914835","1.1949287","PHGDH"
"AC245595.1","0.22727273","0.14478976","0.24478844","0.11193576","0.33979625","0.47240969","0.09340659","0.11727417","AC245595.1"
"PIAS3","0.06818182","0.07349177","0.13766770","0.06922983","0.17794939","0.13179833","0.03434066","0.07290016","PIAS3"
"RBM8A","1.3601399","1.2179159","2.4055728","0.9677576","1.6580677","1.3723700","1.2019231","0.8193344","RBM8A"
"TXNIP","0.3251748","0.3575868","0.5005160","0.2552622","0.6713769","0.5307662","0.5989011","0.3898574","TXNIP"
"SF3B4","0.3111888","0.2431444","0.4606811","0.2153547","0.3470260","0.3334657","0.2774725","0.1521395","SF3B4"
"MRPS21","2.437063","2.019013","2.946749","1.457233","3.185836","2.717348","1.883242","1.868463","MRPS21"
"C1orf56","0.3618881","0.2153565","0.2400413","0.1175325","0.3338810","0.2381898","0.1291209","0.2599049","C1orf56"
"SCNM1","0.3881119","0.3491773","0.4121775","0.2248449","0.4176799","0.3644303","0.4546703","0.2361331","SCNM1"
"S100A10"," 1.533217"," 1.162340"," 2.666873"," 1.071663"," 5.410943","14.070663"," 1.271978"," 2.415214","S100A10"
"S100A11","1.4562937","0.8840951","2.3896801","1.0689865","4.4960565","5.9988091","0.6552198","2.5515055","S100A11"
"S100A16","0.09265734","0.05447898","0.07966976","0.07020319","0.37315150","0.15522033","0.03983516","2.28367670","S100A16"
"S100A13","0.6241259","0.5886654","0.9884417","0.4917873","2.1717056","1.9233823","0.4024725","0.9302694","S100A13"
"AL162258.2","0.017482517","0.007312614","0.009494324","0.006326804","0.018895826","0.011512505","0.006868132","0.012678288","AL162258.2"
"RAB13","1.2377622","0.7429616","1.2138287","0.6129699","2.0736116","1.9356888","1.1071429","1.9318542","RAB13"
"RPS27","59.09965","41.76673","62.82931","33.99635","91.15511","80.96824","59.76374","35.63708","RPS27"
"TPM3","1.2202797","1.0208410","1.6782250","0.7881737","1.3486691","1.4537515","0.9848901","1.7876387","TPM3"
"HAX1","0.6013986","0.5882998","1.0627451","0.4292493","0.9331252","1.0313617","0.9381868","0.6735341","HAX1"
"KRTCAP2","0.6276224","0.5926874","1.0262126","0.4252342","1.0118304","1.3509329","0.6456044","0.6022187","KRTCAP2"
"DAP3","0.5069930","0.3670932","0.5523220","0.2612240","0.6178114","0.5529972","0.4862637","0.3232964","DAP3"
"RIT1","0.1538462","0.1170018","0.1358101","0.1037839","0.1802498","0.1528384","0.2156593","0.1616482","RIT1"
"SSR2","3.152098","2.402194","3.093911","1.506631","4.706868","4.719333","1.620879","1.546751","SSR2"
"LMNA","0.4423077","0.3879342","0.3442724","0.2409052","0.6416365","1.1691147","0.5357143","0.2424723","LMNA"
"UHMK1","0.11888112","0.11773309","0.14097007","0.08602020","0.12191916","0.11830091","0.17032967","0.06022187","UHMK1"
"PBX1","0.5856643","1.3539305","1.3859649","0.6588393","1.6214262","0.8269154","0.1730769","0.2741680","PBX1"
"ALDH9A1","0.2972028","0.1634369","0.3091847","0.1535467","0.3815314","0.4144502","0.1758242","0.2741680","ALDH9A1"
"TMCO1","0.9370629","0.8080439","1.1576883","0.6037231","1.2047322","1.3406114","0.6469780","0.5530903","TMCO1"
"MPC2","0.5174825","0.6241316","0.9519092","0.4529748","1.3038120","1.0571655","0.8392857","0.4215531","MPC2"
"NME7","0.20454545","0.23217550","0.31785346","0.17021535","0.27900099","0.30885272","0.08791209","0.11568938","NME7"
"Z97200.1","0.029720280","0.041316271","0.102786378","0.034554082","0.162339796","0.036919412","0.004120879","0.000000000","Z97200.1"
"PRRC2C","0.9510490","0.9096892","1.3496388","0.6270836","1.3471903","1.1242557","0.3997253","0.6307448","PRRC2C"
"PIGC","0.2849650","0.2047532","0.3306502","0.1401630","0.3187644","0.2850337","0.1016484","0.1679873","PIGC"
"PRDX6","2.340909","1.570018","3.567802","1.652634","4.076569","5.061135","2.921703","1.671949","PRDX6"
"CACYBP","0.7465035","0.4910420","1.4957688","0.5622338","0.6485376","0.5545852","1.0068681","0.2599049","CACYBP"
"TOR1AIP2","0.3374126","0.2859232","0.3702786","0.1867624","0.5016431","0.5843589","0.2046703","0.2234548","TOR1AIP2"
"GLUL","1.6923077","1.1648995","1.6053664","0.7829420","1.6299704","2.1016276","1.3406593","0.7892235","GLUL"
"RGL1","0.113636364","0.047897623","0.068524252","0.033459058","0.116661190","0.091703057","0.002747253","0.085578447","RGL1"
"C1orf21","0.38461538","0.41864717","0.51166151","0.22387152","0.57952678","0.33703851","0.09065934","0.12519810","C1orf21"
"IVNS1ABP","0.4283217","0.4658135","0.6945304","0.3555177","0.5926717","0.6720921","0.1991758","0.2916006","IVNS1ABP"
"CDC73","0.18706294","0.09981718","0.17564499","0.08151843","0.14886625","0.15720524","0.07692308","0.07448494","CDC73"
"PHLDA3","0.1555944","0.2310786","0.2827657","0.1644969","0.4160368","0.6538309","0.4587912","0.2393027","PHLDA3"
"SHISA4","0.09965035","0.05594150","0.07079463","0.03771748","0.15856063","0.22151647","0.02335165","0.06814580","SHISA4"
"TIMM17A","0.5157343","0.4383912","0.7541796","0.3572211","0.5977654","0.7963478","0.4409341","0.2789223","TIMM17A"
"KDM5B","0.5087413","0.6720293","0.5461300","0.2769193","0.7500822","0.5764192","0.1469780","0.3724247","KDM5B"
"KLHL12","0.13636364","0.11663620","0.20350877","0.08760190","0.13506408","0.07939659","0.15796703","0.07131537","KLHL12"
"TMEM183A","0.7027972","0.5601463","1.0590299","0.4916657","0.8606638","0.6736800","0.7266484","0.3866878","TMEM183A"
"SNRPE","4.197552","2.892870","6.287719","2.758730","4.701117","3.089321","2.457418","1.635499","SNRPE"
"PLEKHA6","0.019230769","0.103839122","0.043962848","0.029443971","0.072954321","0.034140532","0.005494505","0.011093502","PLEKHA6"
"MDM4","0.4423077","0.4102377","0.5469556","0.2850712","0.6393362","0.4319174","0.3241758","0.2852615","MDM4"
"NUCKS1","2.5891608","1.7488117","5.1851393","1.5616255","3.0847848","2.0198491","0.8612637","0.9128368","NUCKS1"
"RCOR3","0.1800699","0.2021938","0.2272446","0.1192359","0.2459744","0.1798333","0.1030220","0.0792393","RCOR3"
"LINC00467","0.12937063","0.16855576","0.20433437","0.12154763","0.18682221","0.11075824","0.15796703","0.05546751","LINC00467"
"TP53BP2","0.08041958","0.09360146","0.13973168","0.06132133","0.14032205","0.09686383","0.09752747","0.03645008","TP53BP2"
"ENAH","0.8706294","1.3696527","1.5192982","0.7461978","1.6674335","1.1460897","0.2252747","0.3549921","ENAH"
"SRP9","3.891608","4.013163","6.091228","2.974571","4.089550","3.414847","1.717033","1.629160","SRP9"
"H3F3A","16.437063","16.575137","24.025387","10.212435","18.599737","12.571655"," 8.309066"," 7.714739","H3F3A"
"ARF1","1.1695804","1.2255941","1.9642931","0.8928093","1.9635228","2.4402541","1.9381868","1.2709984","ARF1"
"RAB4A","1.0017483","0.7908592","1.0160991","0.5012775","1.1577391","0.8650258","0.2719780","0.7242472","RAB4A"
"RYR2","0.003496503","0.014625229","0.006604747","0.006205134","0.024318107","0.013100437","0.002747253","0.003169572","RYR2"
"HNRNPU","2.0000000","1.6511883","2.7713106","1.3595328","2.2824515","1.5922985","0.6552198","0.8874802","HNRNPU"
"ZNF672","0.1923077","0.1616088","0.2833849","0.1359046","0.1874795","0.1099643","0.1799451","0.1156894","ZNF672"
"ACP1","1.8251748","1.3404022","2.5341589","1.1478282","2.0537299","2.1417229","1.4024725","0.8573693","ACP1"
"TMEM18","0.3059441","0.2537477","0.4305470","0.1873707","0.5049293","0.4950377","0.2115385","0.2250396","TMEM18"
"PXDN","0.43181818","0.36087751","0.50134159","0.29991483","1.17055537","0.70782056","0.07692308","0.75118859","PXDN"
"RPS7","28.71503","17.25887","28.70547","13.76165","37.48817","26.70107","19.92995","16.68304","RPS7"
"KIDINS220","0.32867133","0.51334552","0.27038184","0.16583526","0.41439369","0.22667725","0.04945055","0.15847861","KIDINS220"
"LAPTM4A","1.604895","1.247898","1.764499","1.006205","2.467138","3.422390","1.427198","1.438986","LAPTM4A"
"RHOB","0.9615385","0.3674589","0.4235294","0.2771627","0.3657575","0.3489480","0.2857143","0.4801902","RHOB"
"PTRHD1","1.0297203","0.7009141","1.0546956","0.5004258","1.2394019","0.8975784","0.6359890","0.4690967","PTRHD1"
"HADHA","0.9265734","0.7129799","0.9979360","0.4735369","1.0887282","0.9170306","0.7568681","0.6450079","HADHA"
"HADHB","0.5699301","0.2859232","0.4891641","0.2204648","0.6072954","0.5978563","0.2774725","0.4088748","HADHB"
"OST4","4.541958","3.591956","5.163674","2.471712","8.619619","8.490274","3.631868","5.057052","OST4"
"SNX17","0.4720280","0.3455210","0.6650155","0.2771627","0.5974367","0.7054387","0.2458791","0.3835182","SNX17"
"ZNF512","0.26223776","0.25776965","0.27636739","0.15111327","0.25566875","0.15799921","0.06868132","0.12995246","ZNF512"
"PPP1CB","0.9248252","0.9656307","1.1560372","0.6105366","1.4413408","1.4684399","0.5137363","0.6259905","PPP1CB"
"YPEL5","0.5804196","0.6979890","0.5186791","0.3680496","0.9226093","1.0980548","0.9697802","0.5039620","YPEL5"
"LBH","0.1153846","0.4149909","0.3256966","0.1574401","0.6618469","0.8582771","0.2239011","0.3470681","LBH"
"EHD3","0.033216783","0.037659963","0.046026832","0.018980411","0.070489648","0.035728464","0.008241758","0.110935024","EHD3"
"DPY30","0.6870629","0.7418647","1.2862745","0.5671006","1.0101873","0.9527590","0.6689560","0.4643423","DPY30"
"YIPF4","0.4860140","0.4676417","0.4860681","0.2636574","0.5435426","0.5442636","0.3502747","0.3074485","YIPF4"
"CEBPZOS","0.2430070","0.2318099","0.3137255","0.1859107","0.2806441","0.2997221","0.1868132","0.1220285","CEBPZOS"
"SRSF7","2.0052448","1.4343693","3.1661507","1.5596788","1.7786724","1.3048829","0.8530220","0.8716323","SRSF7"
"EML4","0.3566434","0.2628885","0.5054696","0.2474754","0.6534670","0.4481937","0.1016484","0.1933439","EML4"
"COX7A2L","2.610140","2.763803","3.442105","1.755201","3.541735","3.120286","4.328297","1.499208","COX7A2L"
"ZFP36L2","0.9615385","0.3601463","1.0321981","0.5683173","1.2002958","0.8122271","0.7596154","0.2773376","ZFP36L2"
"LRPPRC","0.2657343","0.2204753","0.2953560","0.1773938","0.3287874","0.2278682","0.1524725","0.1695721","LRPPRC"
"SPTBN1","0.71853147","0.47276051","0.47306502","0.23287505","0.65872494","0.40928940","0.06456044","1.36925515","SPTBN1"
"RPS27A","39.83217","24.38940","38.75005","20.70215","51.56096","40.09964","32.10852","21.64025","RPS27A"
"FANCL","0.22027972","0.13089580","0.36284830","0.17131038","0.27111403","0.21397380","0.07142857","0.09033281","FANCL"
"USP34","0.28671329","0.28153565","0.30629515","0.17313542","0.39023989","0.26002382","0.07967033","0.21553090","USP34"
"AC016727.1","0.019230769","0.019012797","0.014654283","0.008516851","0.015280973","0.015879317","0.016483516","0.007923930","AC016727.1"
"AC009501.1","0.038461538","0.057038391","0.111661507","0.096483757","0.059973710","0.023025010","0.004120879","0.011093502","AC009501.1"
"ANTXR1","0.16258741","0.12870201","0.21836945","0.10950237","0.26815642","0.18380310","0.01648352","0.01584786","ANTXR1"
"SNRNP27","0.5874126","0.6884826","0.8115583","0.3598978","0.6406507","0.7038507","0.4739011","0.3930269","SNRNP27"
"PCYOX1","0.17657343","0.18318099","0.20908153","0.13675630","0.35737759","0.32235014","0.05494505","0.10776545","PCYOX1"
"TPRKB","0.4790210","0.3802559","0.7574819","0.3023482","0.5169241","0.4005558","0.2733516","0.3502377","TPRKB"
"STAMBP","0.2517483","0.2522852","0.2980392","0.1500183","0.2696352","0.2814609","0.1758242","0.1172742","STAMBP"
"DGUOK","1.2342657","1.2500914","1.6181631","0.7909721","1.6965166","1.4597062","0.8901099","0.8193344","DGUOK"
"BOLA3","0.4195804","0.3151737","0.7869969","0.3460275","0.4988498","0.4859071","0.4505495","0.2218700","BOLA3"
"WDR54","0.4195804","0.5572212","0.7638803","0.4395912","0.6347355","0.5021834","0.2870879","0.6022187","WDR54"
"HTRA2","0.2167832","0.1773309","0.3923633","0.1234943","0.2535327","0.2497023","0.4862637","0.2345483","HTRA2"
"SUCLG1","0.5157343","0.5765996","0.7791538","0.3252220","1.0857706","1.3136165","0.5302198","0.3454834","SUCLG1"
"TMSB10","25.597902","27.989397","23.520743","12.292006","33.423924","29.832076"," 4.894231","39.080824","TMSB10"
"RNF181","0.7569930","0.8277879","1.2594427","0.6727096","1.4186658","1.8622469","1.4162088","1.3565769","RNF181"
"ZNF514","0.06818182","0.07605119","0.08710010","0.06095632","0.11978311","0.07383882","0.04945055","0.06022187","ZNF514"
"TMEM127","0.11538462","0.11480804","0.11888545","0.06278136","0.16003943","0.12107979","0.04945055","0.11885895","TMEM127"
"COX5B","2.928322","2.536380","3.654902","1.833678","3.526618","3.745931","2.605769","2.223455","COX5B"
"EIF5B","1.451049","1.278245","2.185965","1.088089","1.922445","1.718142","1.469780","1.396197","EIF5B"
"RPL31","29.22552","18.63876","30.30857","16.00742","41.60680","37.26042","30.59478","20.08241","RPL31"
"CBWD2","0.10139860","0.06800731","0.10196078","0.05645456","0.08954979","0.06907503","0.03571429","0.04437401","CBWD2"
"C2orf76","0.16958042","0.11261426","0.18864809","0.09490206","0.16447585","0.16276300","0.07967033","0.16640254","C2orf76"
"BIN1","0.4667832","0.4288848","0.5818369","0.2648741","0.9375616","0.8154029","0.1016484","0.6465927","BIN1"
"MAP3K2","0.14335664","0.14332724","0.12879257","0.08918360","0.17893526","0.15125050","0.08104396","0.05229794","MAP3K2"
"MZT2B","3.138112","2.549909","4.886687","1.976153","5.128820","5.000397","2.458791","2.261490","MZT2B"
"MZT2A","1.3374126","1.0197441","2.0699690","0.8611753","2.0892212","2.0095276","1.1964286","1.0839937","MZT2A"
"DARS","0.4947552","0.3937843","0.6747162","0.3710914","0.6979954","0.7034538","0.3777473","0.2931854","DARS"
"MMADHC","0.7622378","0.7967093","1.0569659","0.5292615","1.0351627","1.2107979","1.1153846","0.5213946","MMADHC"
"FMNL2","0.23426573","0.21316271","0.18080495","0.09782212","0.23693723","0.11155220","0.03296703","0.17432647","FMNL2"
"ACVR1","0.05594406","0.05996344","0.07450980","0.04294926","0.10499507","0.08813021","0.04395604","0.04120444","ACVR1"
"MARCH7","0.3566434","0.3137112","0.4214654","0.2390802","0.4316464","0.3306868","0.1758242","0.1885895","MARCH7"
"FAP","0.013986014","0.042047532","0.143034056","0.059617958","0.160203746","0.034934498","0.005494505","0.000000000","FAP"
"SSB","0.8164336","0.6464351","1.3479876","0.6015330","0.8693723","0.8777293","0.7019231","0.3819334","SSB"
"UBR3","0.11363636","0.11992687","0.10546956","0.06278136","0.14952350","0.10162763","0.03434066","0.07923930","UBR3"
"DYNC1I2","0.9790210","1.2998172","1.2216718","0.5292615","1.2586264","1.0674871","0.5370879","0.8431062","DYNC1I2"
"MAP3K20","0.20804196","0.10932358","0.24024768","0.09733544","0.26092672","0.15760222","0.04532967","0.08716323","MAP3K20"
"UBE2E3","2.0856643","2.4182815","2.9589267","1.3491909","2.7282287","2.6312029","0.7788462","1.1774960","UBE2E3"
"PDE1A","0.006993007","0.045338208","0.063570691","0.030660664","0.051429510","0.017864232","0.000000000","0.014263074","PDE1A"
"FRZB"," 0.4125874"," 0.4782450"," 1.6559340"," 0.5023726"," 2.7364443","12.0361254"," 0.1978022"," 0.2028526","FRZB"
"ZC3H15","0.9527972","0.7458867","1.2136223","0.5798759","0.9963851","0.9384676","0.8571429","0.5562599","ZC3H15"
"ITGAV","0.22377622","0.09762340","0.15211558","0.08419516","0.26799211","0.18578801","0.02747253","0.11410460","ITGAV"
"TFPI","0.09440559","0.11736746","0.30134159","0.15780509","0.82254354","0.65105200","0.12912088","2.34389857","TFPI"
"COL3A1"," 0.9108392"," 1.9243144"," 4.7052632"," 2.2524638","15.1114032","24.0547836"," 0.8502747"," 1.2535658","COL3A1"
"COL5A2","0.64510490","0.27276051","0.44169247","0.23214503","1.38448899","1.48352521","0.07967033","0.54199683","COL5A2"
"WDR75","0.08741259","0.08080439","0.11104231","0.07373160","0.11353927","0.10361254","0.09890110","0.04595880","WDR75"
"HSPE1","2.657343","1.613528","3.901548","1.921158","2.256983","1.751489","2.067308","1.103011","HSPE1"
"TYW5","0.08916084","0.07239488","0.10340557","0.06460640","0.11846862","0.07423581","0.05631868","0.03486529","TYW5"
"SPATS2L","0.3111888","0.4351005","0.8148607","0.4153790","1.5941505","2.1734815","0.1483516","0.8858954","SPATS2L"
"PPIL3","0.5332168","0.3616088","0.6575851","0.3293588","0.5954650","0.4930528","0.5329670","0.2345483","PPIL3"
