"Gene_name","logFC","logCPM","F","PValue","FDR"
"A1BG",-0.668246419494989,5.21500946140902,1.07292304722613,0.342665784559461,0.687469077455605
"A2M-AS1",-1.02398133280484,1.59118648115057,1.75177179437297,0.236800106504153,0.595988953273611
"AAAS",0.551919765915497,4.99798780331192,2.66497862100762,0.156879318341074,0.518737627444928
"AACS",0.210528829635429,3.44204291536829,0.269791316205495,0.623224969713567,0.851676645863534
"AADAT",-0.660566604338632,3.2963377911873,2.65735698814151,0.157373593507249,0.519001777758889
"AAED1",0.615041958102299,2.98393236165663,1.49042415272567,0.270747717816107,0.629590799823071
"AAGAB",-0.222499173246422,4.1111856207349,0.476744101499719,0.517305926862691,0.79508892788749
"AAK1",-0.0929221907952027,5.68764983452004,0.024729617082327,0.880523382255293,0.957480322297963
"AAMDC",0.140948529284602,5.68975101165275,0.109101266975635,0.753098751556177,0.911990592131745
"AAMP",0.571919213490966,5.53012086044676,1.95349762156595,0.214740816678326,0.576656223689766
"AAR2",-0.124517040159549,3.95826395742263,0.137758694120191,0.724067480073616,0.900364399167832
"AARD",0.206113443812184,0.747159587418602,0.187167857057182,0.681344016643382,0.880245281415058
"AARS",1.04373190801321,4.37006554136636,12.2952098776954,0.014097885873162,0.264631209895118
"AARS2",0.243912195257544,1.9985671033542,0.386776566183267,0.558295990281256,0.817681587467831
"AARSD1",0.114248815974104,3.84667290019358,0.127040881218618,0.734479784555766,0.904379321364771
"AASDH",-0.312796281457561,4.23117049694417,0.987454411248733,0.361090068315733,0.701502211095742
"AASDHPPT",-0.560037008745905,5.75660629211617,2.71815620660914,0.153491377361817,0.51421063754194
"AASS",-0.882011536877056,3.54750260701031,3.73859006861099,0.104460230306678,0.453617108416051
"AATF",0.831510246225454,4.67294481031086,7.75965195232525,0.0339418786011922,0.33302277088359
"ABAT",-2.78361597445018,4.18126529100868,9.91388958315827,0.0215926582091286,0.299384546702059
"ABCA1",1.16672351152292,3.55677411898493,3.52462693192467,0.112694415585594,0.465839937614291
"ABCA2",-0.121666834721507,2.53801154864623,0.0212172202665105,0.889257071199619,0.961073925196727
"ABCA5",-1.72202160619238,2.68977163192081,7.15751464380335,0.0390842776939135,0.34805242583958
"ABCA7",1.99885898940701,2.09153346593734,29.173405317912,0.00202655646483986,0.179379197944968
"ABCB10",1.62584763170544,3.63123411483516,25.2465040552729,0.00286489089406496,0.189002519893481
"ABCB7",0.778233952382346,4.26698830885505,4.94185598750379,0.0707823311967877,0.408189995383849
"ABCB8",0.105279668072106,2.86792793984729,0.0811864188796085,0.785873356562031,0.92299712202793
"ABCB9",0.197508346068556,1.04512298818992,0.206481250938446,0.666510192750531,0.873146454941681
"ABCC1",0.37332636479059,2.36192857548262,0.443679913493434,0.531648216203564,0.80360875021576
"ABCC10",-0.151109987493506,2.24454609962566,0.0948495971015025,0.769161197573684,0.917630624703826
"ABCC4",0.358650926355355,2.79052273183785,0.337105767012107,0.583951496943785,0.830616041107367
"ABCC5",-0.305449501322025,4.37697286229426,0.980132692980584,0.362742292078259,0.701691305258548
"ABCC6",-0.575014526254788,1.53539582391299,0.58676949043857,0.474515149833751,0.772611917273003
"ABCD1",0.456130643939828,1.68189884748801,1.24764825293573,0.309340293217706,0.661916489572844
"ABCD3",-0.632228406558777,4.22035176239048,2.99983479899365,0.137169796819083,0.494006144717875
"ABCD4",0.140977123785016,5.84400226219526,0.25037441352834,0.635740659140494,0.858491795550689
"ABCE1",-0.0406672547449447,5.34670233696799,0.00806926193858288,0.931529281419347,0.975894961766876
"ABCF1",0.309409614010041,5.87571265636337,0.945266600410306,0.370781249072244,0.707865823377013
"ABCF2_ENSG00000033050",0.180373563860403,4.38236351393179,0.286744144672019,0.612768773480898,0.844699216334304
"ABCF3",0.258121610606344,3.3611645731814,0.367028991714942,0.568202388710807,0.822475109076344
"ABCG1",-0.695967263130443,1.01039694624187,1.43016859222611,0.27961078524921,0.639649173813954
"ABHD10",-0.791228772833409,3.87251397258921,4.51049860677034,0.08084158394115,0.424454333599023
"ABHD11",0.0933027016827077,3.52311458188342,0.059707623911308,0.815608466217801,0.93522902871944
"ABHD12",0.00167938167400793,4.5378699211252,3.19045431285285e-05,0.995687804012326,0.998979574374343
"ABHD13",-0.0547689835000213,4.13213675559515,0.020987934167386,0.88985214561666,0.961465497295461
"ABHD14A",-0.844459607864757,4.86605281688174,7.26201280983966,0.0381187616475092,0.345803582969205
"ABHD14A-ACY1",0.608636848300015,2.29982837344283,2.0782988195953,0.202570914754735,0.56461061080537
"ABHD14B",0.811345566575966,4.01900497659982,5.50759163523427,0.0600359605734853,0.38849379813401
"ABHD15",-0.4007998042592,0.840681706766425,0.436931904617543,0.534672721520219,0.805709565605879
"ABHD17A",0.624260910358045,5.34362348761966,4.42376800089454,0.0831003277686957,0.427784344762678
"ABHD17B",-0.419633134574449,4.22625011195472,1.25993977752654,0.307188524391119,0.660140903075638
"ABHD17C",-0.8673580399378,3.81317674151905,4.90656892663466,0.0715380578072831,0.408391304213609
"ABHD18",0.193258294202579,2.84828165459302,0.126100455241444,0.735417133297424,0.904700742642081
"ABHD2",-0.712853967186656,3.70321670624042,1.08606556444227,0.339966204612971,0.684031453383611
"ABHD3",0.812269154312223,2.98182724146727,1.86850955703928,0.223649803711928,0.583402812087524
"ABHD4",1.2182610130652,2.83652004084106,11.3607975576806,0.0165366106126219,0.278048410734886
"ABHD5",0.124370700981226,3.91893826613267,0.137263100260303,0.724538421349028,0.900364399167832
