"Gene_name","logFC","logCPM","F","PValue","FDR"
"A1BG",1.08671159943796,5.74258229678555,3.10788578235721,0.115695022453237,0.273078297138474
"A1BG-AS1",0.63125267253389,1.74807549620865,1.002260487522,0.345902275971728,0.534144876357434
"A2M",-0.502009653984177,1.24858247422987,0.158359398927097,0.7010160422633,0.819122322103495
"A2M-AS1",-1.95012050181982,1.06979363660591,6.58165672541525,0.0331937011277488,0.136847472379963
"AAAS",0.58087848943009,4.99990955393683,7.6648294848053,0.0242056531151585,0.118157586516862
"AACS",0.332728990221956,3.51564931020866,2.41982347406553,0.158183575443817,0.32847589360966
"AADAT",-0.675342124355557,3.29962490827138,3.52500206282233,0.0970482175616783,0.245966130522209
"AAED1",0.912216648365775,3.17205391971284,9.17429479234731,0.0162173784397712,0.0990723798515967
"AAGAB",-0.273525886842516,4.08379939088487,1.74115421520107,0.223282501337267,0.404528932740624
"AAK1",-0.0244768916289246,5.80684895164872,0.00455046774506747,0.947863093707994,0.972310939843102
"AAMDC",0.667418496269809,5.74658641322173,2.93604330712254,0.124737283655715,0.284954764982769
"AAMP",0.594409906222541,5.50729092464056,5.60419490694819,0.0452467075313838,0.160879135206942
"AAR2",0.222387006308568,4.03173866192009,0.832497974604982,0.388057940627033,0.572810625507234
"AARD",1.02729597782473,1.39331796239655,2.57236418366964,0.147176630055022,0.315276948663883
"AARS",0.758384206387539,4.2961760243468,12.4629410317905,0.00765138933857411,0.0741031083140202
"AARS2",0.293754663732958,1.84799813115457,0.764473994683661,0.407258306701857,0.589774706856145
"AARSD1",0.160444015725274,3.75804056221376,0.700122689554837,0.426880720871214,0.608530905913089
"AASDH",-0.239359668441032,4.12202341047065,2.28724209023512,0.168660600952415,0.339767122136462
"AASDHPPT",-0.606485965771185,5.65671522018319,11.5674035872883,0.00925862133833408,0.0781550378750827
"AASS",-0.562969254643304,3.50339276437305,1.853948114665,0.210206036998753,0.389663040803877
"AATF",0.621789329854282,4.56684743106591,7.72686644834771,0.023790191909759,0.117276649824053
"ABAT",-2.56524643803374,4.03947462254102,25.3550611331264,0.000988446264400017,0.0514023970257832
"ABCA1",1.33547584370815,3.86147982689591,13.7963145391789,0.00585390524938636,0.06870998780232
"ABCA2",-0.0505436999359277,2.49382323036088,0.0116170882909031,0.916806022670745,0.95428892452916
"ABCA3",-2.21678877867793,1.9495644139416,9.59599883797587,0.014603436717692,0.094470276418975
"ABCA5",-0.450003008224832,2.91778564968941,0.712994089472944,0.422833240057932,0.604709251240256
"ABCA7",1.6357917941586,2.02510139977246,21.6592133013331,0.00160916879138121,0.0536859891323602
"ABCA8",1.12179572721608,1.51351478271654,1.43195117651396,0.265496003435195,0.450677385141562
"ABCB10",1.21995038639405,3.52368498864727,17.4557800195455,0.00304555890918796,0.0591793527185093
"ABCB7",0.585568617458845,4.24625240536149,7.90780703346583,0.0226287771715274,0.115097743424109
"ABCB8",0.290300822537672,2.92105633660503,1.31991976871382,0.283594395057779,0.469621911081918
"ABCB9",0.178544806722917,1.15095274907913,0.300305412765366,0.598553185468422,0.745883913716956
"ABCC1",0.236697463511069,2.34641217006355,0.269945454867709,0.617347719434839,0.759161371466774
"ABCC10",0.00191984026850311,2.23019601078433,4.56125907699537e-05,0.994775725418159,0.996786761358987
"ABCC4",0.646062595175876,2.7290477653248,2.04799048258951,0.190058240202868,0.365950487392804
"ABCC5",-0.440639254270387,4.25854687916386,5.97338660427469,0.0401277265255908,0.150264284913333
