"Gene_name","logFC","logCPM","F","PValue","FDR"
"A1BG",0.320047778469073,5.49621175245424,0.2782433735117,0.617975275586348,0.998369998242679
"A1BG-AS1",0.280805636905831,1.52803512541679,0.386701751220836,0.558351684927344,0.998268157551358
"AAAS",0.237350996560596,4.95762012210838,0.449603376666121,0.529041812318605,0.998268157551358
"AACS",0.466331552237292,3.57028072681431,1.32444407586422,0.296302132718788,0.976533285644717
"AADAT",0.0845904908102696,3.51418359827638,0.0463999403276791,0.837037570899925,0.998393036651269
"AAED1",0.777411154011071,3.08997889748379,2.28271315219822,0.18474233295702,0.971701608203708
"AAGAB",0.0855338599171369,4.24175011801613,0.0701815174217959,0.800499549148146,0.998393036651269
"AAK1",-0.104333455089017,5.73908292465006,0.0313453600321516,0.865666123375604,0.998393036651269
"AAMDC",-0.0419550528669405,5.69980068169471,0.00932538427485349,0.9264133320011,0.998393036651269
"AAMP",0.361848494553559,5.51992318363054,0.748107924546982,0.4223817831075,0.995476446236669
"AAR2",-0.103373429417674,4.020948749835,0.0891365559779128,0.775984466698204,0.998393036651269
"AARD",-0.266984363009892,0.708897470521073,0.234962932922917,0.646139802629819,0.998393036651269
"AARS",0.55601665754246,4.24371258350612,3.09060161659819,0.132475876598712,0.943266380088984
"AARS2",0.234010508808777,2.05072944874996,0.313753854362206,0.596941201414311,0.998268157551358
"AARSD1",-0.05337717325249,3.86133148315962,0.0254372932681102,0.878846994547566,0.998393036651269
"AASDH",-0.26515708567294,4.29914357351055,0.678728040071561,0.443504680116232,0.995539969578198
"AASDHPPT",-0.587446762067659,5.808907953576,2.97915787868016,0.13832443287212,0.944984540915155
"AASS",0.25968263715369,3.84735256862216,0.381420037889888,0.560965686181136,0.998268157551358
"AATF",0.275301032942151,4.54512212949145,0.730186572687092,0.427668188921688,0.995476446236669
"ABAT",-2.64241845670659,4.25101945908763,8.67468499357243,0.0277798178793919,0.934065759330736
"ABCA1",1.46159754370354,3.73575729735999,5.51032115577344,0.0600261798818535,0.934065759330736
"ABCA2",-0.24046511963514,2.5713809640233,0.0769037802535145,0.791433618259672,0.998393036651269
"ABCA5",-0.447582929536919,2.93274322916613,0.554068898122447,0.486542887859076,0.998268157551358
"ABCA7",1.06559919379546,1.66169789862268,7.02903195392604,0.0403494071754724,0.934065759330736
"ABCB10",0.724100560470003,3.29247271148696,3.89880284419778,0.0988760467139589,0.934248586136774
"ABCB7",0.308260231185151,4.16806127482511,0.687879751376924,0.440613874015259,0.995476446236669
"ABCB8",-0.100192974033831,2.87544701980441,0.0652929535829561,0.80739169570122,0.998393036651269
"ABCB9",0.00588470453450168,1.05858081694235,0.00014819338418027,0.990706882752059,0.998393036651269
"ABCC1",0.82694097767544,2.55740368382118,2.17454047511416,0.193900551097501,0.974697348743746
"ABCC10",0.0212115827823206,2.34583194961768,0.00176637018822477,0.967926232108983,0.998393036651269
"ABCC4",0.256180380431826,2.81340619634497,0.161396034895434,0.702672325203868,0.998393036651269
"ABCC5",-0.735832628807275,4.35512083261011,4.99576816680077,0.0696869342979773,0.934065759330736
"ABCC6",-0.223131992206058,1.67729988542374,0.0831484640424437,0.78339107554033,0.998393036651269
"ABCD1",0.817067486863499,1.84366439668108,3.72944345967632,0.104836184550263,0.935733989308493
"ABCD3",-0.308380601415138,4.34115406641607,0.718957067292698,0.431039238096824,0.995476446236669
"ABCD4",0.0805689824036841,5.8837489380047,0.0826614340044061,0.784006183124685,0.998393036651269
"ABCE1",-0.209327624921043,5.3648944563578,0.203343556290337,0.668873548765123,0.998393036651269
"ABCF1",0.276721294895002,5.92214507788548,0.755665884221019,0.420185971471974,0.995476446236669
"ABCF2_ENSG00000033050",0.151495499819247,4.43073059966888,0.189458411734142,0.679549904588869,0.998393036651269
"ABCF3",-0.0819522074017051,3.33085987407127,0.0323581458843372,0.863540075655632,0.998393036651269
"ABHD10",-0.517156939645505,3.98123206956915,1.88464481059937,0.221957163699676,0.974697348743746
"ABHD11",0.0553732968959946,3.56977175242683,0.0197754486217184,0.893059640439082,0.998393036651269
"ABHD12",-0.0390838625243982,4.58421662688115,0.0160572582274678,0.903566131013564,0.998393036651269
"ABHD13",-0.182629579476737,4.16044240348859,0.215674746028428,0.659762068894735,0.998393036651269
"ABHD14A",-0.526884263146097,4.97859487955388,2.77767557794108,0.149863786222213,0.947078460662053
"ABHD14A-ACY1",0.724393183467533,2.38495871147347,2.72170641161181,0.153311185726289,0.951446340695671
"ABHD14B",0.279992670296528,3.89854993885328,0.580839006240138,0.476675211584208,0.996990806608983
"ABHD15",0.664533049401988,1.17654527121282,1.22950758198851,0.312593524281477,0.976533285644717
"ABHD17A",0.279858331136236,5.29048835799356,0.837733709500381,0.3975405016693,0.989709070260608
"ABHD17B",-0.143955480713778,4.34338557980091,0.146242867926144,0.716164186361323,0.998393036651269
"ABHD17C",-0.194650196243167,3.99856369773805,0.260894459745886,0.628899885012905,0.998393036651269
"ABHD18",-0.225359451099268,2.80345879209709,0.152153033729758,0.710808464694899,0.998393036651269
"ABHD2",-0.367473690176021,3.8259386725354,0.29542602344984,0.607587388046802,0.998369998242679
"ABHD3",0.393261492733145,2.89463909011869,0.388282306613246,0.557574391398129,0.998268157551358
"ABHD4",0.920863408703942,2.75720662789618,5.71541507364488,0.0566883180748159,0.934065759330736
"ABHD5",-0.0470759514634383,3.93260857707787,0.0178737458533304,0.898293772233423,0.998393036651269
"ABHD6",-0.612805453528169,2.78805212662632,1.08899232154573,0.339402343022104,0.98102994611452
"ABHD8",-0.501317606259086,2.95619103913297,1.0223949617848,0.353401949223766,0.981584065882146
"ABI1",-0.109743149547425,4.76694180556805,0.104770042072306,0.75785830065282,0.998393036651269
"ABI2",-0.264170523485674,7.00666315187392,0.814356615354744,0.403776997800695,0.990955644908358
